domain,count
"138.27.168.192.in-addr.arpa",10
"138.28.168.192.in-addr.arpa",14
"139.202.168.192.in-addr.arpa",8
"139.21.168.192.in-addr.arpa",22
"139.22.168.192.in-addr.arpa",16
"139.229.168.192.in-addr.arpa",58
"139.23.168.192.in-addr.arpa",14
"139.24.168.192.in-addr.arpa",10
"139.25.168.192.in-addr.arpa",6
"139.26.168.192.in-addr.arpa",6
"139.27.168.192.in-addr.arpa",10
"139.28.168.192.in-addr.arpa",14
"14-courier.push.apple.com",106
"14.1.16.172.in-addr.arpa",4
"14.202.168.192.in-addr.arpa",6
"14.21.168.192.in-addr.arpa",24
"14.22.168.192.in-addr.arpa",16
"14.229.168.192.in-addr.arpa",58
"14.23.168.192.in-addr.arpa",22
"14.24.168.192.in-addr.arpa",8
"14.25.168.192.in-addr.arpa",6
"14.26.168.192.in-addr.arpa",8
"14.27.168.192.in-addr.arpa",12
"14.28.168.192.in-addr.arpa",16
"140.202.168.192.in-addr.arpa",6
"140.21.168.192.in-addr.arpa",20
"140.22.168.192.in-addr.arpa",18
"140.229.168.192.in-addr.arpa",58
"140.23.168.192.in-addr.arpa",14
"140.24.168.192.in-addr.arpa",8
"140.25.168.192.in-addr.arpa",8
"140.26.168.192.in-addr.arpa",6
"140.27.168.192.in-addr.arpa",10
"140.28.168.192.in-addr.arpa",14
"141.202.168.192.in-addr.arpa",4
"141.21.168.192.in-addr.arpa",20
"141.22.168.192.in-addr.arpa",16
"141.229.168.192.in-addr.arpa",58
"141.23.168.192.in-addr.arpa",16
"141.24.168.192.in-addr.arpa",8
"141.25.168.192.in-addr.arpa",6
"141.26.168.192.in-addr.arpa",8
"141.27.168.192.in-addr.arpa",10
"141.28.168.192.in-addr.arpa",14
"142.202.168.192.in-addr.arpa",2
"142.21.168.192.in-addr.arpa",22
"142.22.168.192.in-addr.arpa",16
"142.229.168.192.in-addr.arpa",58
"142.23.168.192.in-addr.arpa",14
"142.24.168.192.in-addr.arpa",10
"142.25.168.192.in-addr.arpa",6
"142.26.168.192.in-addr.arpa",6
"142.27.168.192.in-addr.arpa",12
"142.28.168.192.in-addr.arpa",14
"143.202.168.192.in-addr.arpa",4
"143.21.168.192.in-addr.arpa",20
"143.22.168.192.in-addr.arpa",18
"143.229.168.192.in-addr.arpa",58
"143.23.168.192.in-addr.arpa",14
"143.24.168.192.in-addr.arpa",8
"143.25.168.192.in-addr.arpa",8
"143.26.168.192.in-addr.arpa",6
"143.27.168.192.in-addr.arpa",10
"143.28.168.192.in-addr.arpa",14
"144.202.168.192.in-addr.arpa",4
"144.21.168.192.in-addr.arpa",20
"144.22.168.192.in-addr.arpa",16
"144.229.168.192.in-addr.arpa",58
